Little St-Julien-le-Pauvre, a jewel of early Gothic architecture dating from between 1165 and 1220, hosts recitals of chamber and religious music. With its wafting incense and masses said in Greek or Arabic (the church belongs to the Melchite sect of the Greek Orthodox Church), St-Julien is not out of place in an area packed with Middle Eastern restaurants. Just across rue St-Jacques stands the exquisite 13th- to 15th-century Flamboyant Gothic church of St-Séverin, in which Dante is said to have prayed and Saint-Saëns asked to be made honorary organist.	Bricks fired on the spot are the valley’s main building material.	Travel-1
Next to the castle is the impressive Gothic Sé Velha (Old Cathedral) of Silves, built by the liberating Crusaders, some of whom are buried within, in the 13th century. The remains of a Moorish mosque are hidden behind the altar. Opposite the Sé is the 16th-century Igreja da Misericórdia, with a classic Manueline-style side door.	During the Crusades, Portuguese Crusaders often razed mosques and built churches on top, as is the case for Sé Velha of Silves, which features a Moor mosque hidden behind its altar.	Travel-2
Manzanillo initially drew the interest of international visitors for its excellent fishing. An important annual fishing tournament prompted the construction of modest hotels and condos. In the 1970s, the development, along with the new airport, of the Club Maeva and Las Hadas resorts, with their striking Moorish design, began to bring in a steady flow of tourists. Then the movie Ten, starring Bo Derek and Dudley Moore and filmed in Las Hadas, put Manzanillo squarely in the spotlight.	Nearby, on Calle Pío Rosado, the Museo Emilio Bacardí has wide-ranging art, archaeological, and more recent historical collections (including a small, grotesque collection of mummies).	Travel-3
Alongside a landmark water tower is a good open-air theatre which presents concerts, opera, and ballet performances in the summer. Nearby are the ruins of a 13th-century Dominican Convent that was founded by King Béla IV. Here he enrolled his 11-year-old daughter, Margit, in fulfilment of a vow he had made should he live to survive the Mongol invasion. Princess (and later saint) Margit stayed on the island for the rest of her life; it was subsequently named after her. Her burial place is marked by a marble plaque.	Following a Mongol invasion, King Belá IV made good on his vow to have his daughter Margit join a convent if he survived, on whose island grounds she remained for the rest of her life, ultimately becoming Saint Margit and having the convent's island named after her.	Travel-4
Most beaches protected from the open ocean have rowboats, canoes, or pedalos for rent by the hour. Experienced sailors in search of a more seaworthy craft should ask at the local yacht harbor. In the Algarve, dinghies and sailing instruction are available at Praia de Luz, Quinta do Lago, and Portimão. For bigger craft try the marina at Vilamoura or the Carvoeiro Club. Boat cruises are available in virtually every settlement along the Algarve.	Boat cruises offer a care free way to enjoy the Algarve coasts of Portugal, though rowboats and canoes are available for the adventurous who want to explore the harbor up close.	Travel-5
Shaolin offers one more treat for the more adventurous. It is located at the foot of the western range of the Songshan mountains, part of the mountain cluster that was traditionally regarded as the Central Mountain at the center of the Chinese empire. A gondola now whisks visitors to the top, where hiking trails are abundant and views of the Shaolin complex and the vast desert plains of Henan are impressive. On the far side of the range, sheer walls of stone 300 m (1,000 ft) high tower over the plains, where a series of catwalks and carved footpaths wander through old temples and pavilions into the silence and emptiness beyond.	Visitors may ride a gondola to the mountain top with its extended hiking trails and unparalleled views of the desert and the Shaolin complex.	Travel-6
Lake Voulisméni is connected to the sea by an artificial channel. Across the road bridge at its mouth is the main tourist office, and beyond are the harbor and port. Sea breezes here often make this stroll cooler than around the lake. From the port you can take caïque (small colorful wooden boats) trips to nearby attractions, most notably Spinalónga Island.	A short walk west along the waterfront brings you to the remains of the Dominican Monastery of Áyios Pétros (St. Peter), which is in the process of renovation, and beyond that is the Historical Museum of Crete, housed in a remarkable building — part Venetian mansion and part modern glass edifice.	Travel-7
The Nanjing Museum (Nanjing Bowuguan), founded in 1933, is located inside Zhongshan Gate, the main eastern portal of the city wall. Among art and artifacts from prehistoric times to the end of the empire, the museum displays colorful ancient pottery, elegant figurines, and a famous jade burial suit 2,000 years old. 	Boxwood, mahogany, or bamboo screens, chairs, and chests with elaborately carved designs re-create the atmosphere of old China.	Travel-8
Watch the birdie (and the dolphins). There are several animal/bird parks in the islands, Tenerife’s Loro Park, Gran Canaria’s Palmitos Park, or Lanzarote’s Guinate Tropical Park are all described in the Where To Go section of this guide. Others include the Parque Las Aguilas, Los Cristianos, Arona (Tenerife), which as the name implies, has an eagle show, all kinds of other birds and animals, and the new JungleRaid where kids of all ages can work their way through all kinds of obstacles.	Older children are sure to be fascinated by the Guanche skulls, skeletons, and mummies kept at both the Museo Canario in Las Palmas and the Museo Arqueológico at Santa Cruz on Tenerife.	Travel-9
There are plenty of possibilities for excursions in the vicinity of Guardalavaca. To the west is Bahía de Bariay, which has a monument claiming Columbus’s landing (a fact contested chiefly by Baracoa, farther east). Beyond the bay is Gibara (27 km/17 miles north of Holguín), a captivating if sleepy little port town. You can take a boat trip into the middle of Bahía de Naranjo to a simple aquarium, where you can swim with the dolphins.	 The 750,000-volume collection is amazing, but so too is the interior of the 1849 building, which is exquisitely furnished with antiques, busts of Benjamin Franklin, Daniel Webster, and others, and several paintings by John Singer Sargent and Gilbert Stuart.	Travel-10
The teahouse pond marks one corner of the Old Chinese City (Nanshi), once deemed a danger zone for European visitors. You might still get lost in this maze of backstreets, reminiscent of a North African souk, but much of it has been renovated, tastefully, into the Yuyuan Shopping Center. There are still shops from the old bazaar days selling chopsticks, medicines, bamboo fans, silk, and incense.	The Yuyuan Shopping center, located in the Old Chinese City (Nanshi) is recently renovated much easier for tourists to navigate than if trying to shop in the maze of backstreets in the area.	Travel-11
The apostle Paul arrived in a.d. 59 with his disciple Titus, whom he left behind to convert the islanders to Christianity. Titus had a hard time combating the Cretans’ pagan beliefs, and was martyred for his overzealous efforts. But Christianity eventually triumphed to achieve the strong Orthodoxy of today, and Titus became Crete’s patron saint.	Proudly emblazoned with the Lion of St. Mark, the ports and fortifications of Iráklion (called Candia under Venetian rule, as was the whole of Crete), Chaniá, and Réthymnon bear witness to the Venetians’ ambitious public building program.	Travel-12
The walls look directly onto the Igreja de Santa Maria do Castelo (Church of St. Mary of the Castle), most likely built on the site of the old mosque. The Gothic portal is the only original 13th-century part of the building to have survived the devastating 1755 earthquake. In the chancel is the large tomb of Dom Paio Peres Correia, who drove the Moors out of Tavira in 1242.	Igreja de Santa Maria do Castelo, built over the location of mosque, contains two significant architectural features: a Gothic portal, which is the only original part of the building to survive 1755 earthquake, and a cancel containing the tomb of Dom Paio Peres Correia who liberated Tavira from the Moors in the 13th century.	Travel-13
The political status quo under the United Bermuda Party continued until November 1998, when the PLP (Progressive Labour Party) won an unexpected landslide victory in the general elections. This not only surprised the old school but ushered in a new era full of opportunity for development as the island keeps up with a rapidly changing world. Challenges include environmental and housing issues as well as problems of unemployment, unknown in modern Bermuda until the final years of the 20th century. Positive long-term solutions will ensure that Bermuda continues to enjoy the wealth, security, and comfort it has created for itself.	Bermuda's Progressive Labour party championed many progressive causes, including environmental issues, housing, and unemployment, which helped prepare the island for continued prosperity.	Travel-14
Zihuatanejo was claimed for the Spanish crown by Juan Alvarez Chico in 1522. The town and port saw little action during colonial days and it slumbered quietly, hosting a few lost galleons and pirate ships that happened to stop for repairs or supplies. Local lore tells how one such ship, upon returning from its travels to China, lost hundreds of rolls of silk. The name La Ropa (“the Clothing”) was given to the beach where the silk later washed ashore.	Spain claimed Zihuatanejo in the 16th century but the town was hardly visited during colonial times, except for a few wayward galleons and pirate ships needed repairs, of which one reportedly lost hundreds of silk rolls that later washed up on short, giving the name La Ropa ("the Clothing") to the town's nearby beach.	Travel-15
The Museu Romàntic displays the furniture and accoutrements of a wealthy 18th century, as well as a large family of antique dolls. On the hillsides and lanes are the villas of wealthy Barcelona families, while the streets between the beach and railway station are geared for food and frolic. In late spring, the streets are carpeted with flowers for the procession of Corpus Christi. Sitges is home to one of Spain’s largest gay communities, and is a magnet for gay travelers year-round, but particularly during carnaval. Gay and nudist beaches are just beyond the town beaches. 	 The compound buildings have walls decorated with photographs and paintings of abbots and partisans; one room has a battle-plan relief map of the 1866 incident.	Travel-16
