comply with international obligations	diplomacy	Newswire-1
very tedious	tenacity	Newswire-2
not my brother	unrelated	Newswire-3
able to function	necessary	Newswire-4
$50 million in equal installments	defending	Newswire-5
obligations to the bank	loan	Newswire-6
depending on participation in incentive schemes	commission	Newswire-7
vicious cycle of violence	knife	Newswire-8
hijacking a Cuban ferry a day later	Hemingway	Newswire-9
not the bad guy	nice	Newswire-10
face trial	makeup	Newswire-11
and are due to appear again before court on July 8	court appearance	Newswire-12
facing up to two years in prison	fisheries	Newswire-13
Under the legislation	behaviour	Newswire-14
months behind	late	Newswire-15
a meeting of coffee producers in Rio de Janeiro	business	Newswire-16
latest shooting linked to the spree	victim	Newswire-17
ecological integrity of the park	environment	Newswire-18
special offer flyer	promotion	Newswire-19
separate concepts	theories	Newswire-20
more of a civilian	by-stander	Newswire-21
limited employment	unemployment	Newswire-22
three months behind	in arrears	Newswire-23
good between us	fighting	Newswire-24
the future of the country	jingoistic	Newswire-25
open to letting	carpet	Newswire-26
setting plans in motion	plan	Newswire-27
defined in the documentation	outlined	Newswire-28
the sluggish storm system	thunderstorm	Newswire-29
contract employees of the CIA	inquire	Newswire-30
100 new third-party systems	government	Newswire-31
undisclosed terms	creditors	Newswire-32
at least twice a day	double	Newswire-33
unprecedented rate	normal	Newswire-34
profoundly human	reason	Newswire-35
ability to sustain	fueled	Newswire-36
completely boring	drill	Newswire-37
able to speak	unavoidable	Newswire-38
sifting through cracks in the ceiling	leak	Newswire-39
heart attack patients	cardiac-arrest	Newswire-40
waiting to take action	meditation	Newswire-41
onset of cooler weather	fall	Newswire-42
inhumane practices	sensate	Newswire-43
the median household earned income	salary	Newswire-44
bread baker	company	Newswire-45
obtained by criminal means	fence	Newswire-46
cost of doing business	expenses	Newswire-47
a Halloween toy	orange	Newswire-48
trial period of two years	test	Newswire-49
common fight against terrorism	war	Newswire-50
a pay freeze	freeze	Newswire-51
embarrassing their high-scoring ABA forefathers	boxing	Newswire-52
a thousand times yes	confirmation	Newswire-53
windshield wiper motor	car	Newswire-54
a shopping paradise	market	Newswire-55
environmental damage	smog	Newswire-56
beyond the question	poll	Newswire-57
refusing to rehire rehabilitated drug users	square	Newswire-58
life in her hand	longevity	Newswire-59
warfare equipment	tanks	Newswire-60
a bomb blast	quicker	Newswire-61
food products and other general commodities	merchandise	Newswire-62
archaeological discoveries	toothbrush	Newswire-63
not answering your phone	ignoring	Newswire-64
a strong police presence	enforcement	Newswire-65
meteorological elements	atmosphere	Newswire-66
showing increasing signs of recovery	manufacturing	Newswire-67
a bit late	export	Newswire-68
transfer documents electronically	email	Newswire-69
eligible for community financing	community-approved	Newswire-70
a severe crimp in reserves	pinch	Newswire-71
alleged hijackers	suspect	Newswire-72
alternative means of transport	seat	Newswire-73
an extended period of stagnation	economic	Newswire-74
falling incomes and minimum wages	cuts	Newswire-75
causing a rush of people	havoc	Newswire-76
systematic assessment	pop quiz	Newswire-77
unexpected sharp moves in either direction	fluctuations	Newswire-78
effective immediately	stat	Newswire-79
alternate energy sources	electricity	Newswire-80
the industry censor	ban	Newswire-81
necessary and unavoidable	inevitable	Newswire-82
highly enriched, weapons-grade uranium	funding	Newswire-83
rising stocks	bullish	Newswire-84
about the same	hand	Newswire-85
relaxation time	nap	Newswire-86
a big step forward	program	Newswire-87
the opposite of full	empty	Newswire-88
tax-shelter development and marketing	achievement	Newswire-89
unusually dry weather	winter	Newswire-90
a good part of their cocoa held on consignment	majority	Newswire-91
charged with terrorism	accused	Newswire-92
filing a suit	legal	Newswire-93
chemical poisoning	MSG	Newswire-94
eight 24-hour commercial-free digital uninterrupted music channels	music	Newswire-95
domestic partners	docking	Newswire-96
lower government spending	sequestration	Newswire-97
rubbing their hands at the scope for embarrassing him	wring	Newswire-98
accurately reflects economic reality	delivery	Newswire-99
a bit cold	linguistic	Newswire-100
ability to understand	subject	Newswire-101
critical condition	serious	Newswire-102
undelivered checks	bounced	Newswire-103
a more reliable nation's electrical system	plug	Newswire-104
declined sales	shopping	Newswire-105
a description of the organisational structure	diagram	Newswire-106
what a vivid imagination	insipid	Newswire-107
approving a proposal	debate	Newswire-108
complete and appropriate	tick	Newswire-109
above consideration	countries	Newswire-110
sign a declaration	declare	Newswire-111
signed a letter	Nissan	Newswire-112
the new realities of the semiconductor industry	advancements	Newswire-113
repeated warnings	hazardous	Newswire-114
Under the settlement	revenue	Newswire-115
difficult weather conditions in the Northeast	merger	Newswire-116
more quickly than others	fast	Newswire-117
junior colleagues	staff	Newswire-118
pay current operation costs	pay	Newswire-119
in the red	unprofitable	Idiomatic-120
at the drop of a hat	whenever	Idiomatic-121
fit as a fiddle	shapely	Idiomatic-122
abject lesson	warning	Idiomatic-123
pop one's clogs	illness	Idiomatic-124
whole ball of wax	total	Idiomatic-125
close but no cigar	unqualified	Idiomatic-126
chew the fat	talk	Idiomatic-127
sleep on it	think	Idiomatic-128
full Monty	original	Idiomatic-129
kick up your heels	enjoy	Idiomatic-130
bust one's chops	speak	Idiomatic-131
not worth a red cent	worthless	Idiomatic-132
get bent out of shape	unsettled	Idiomatic-133
all ears	concerns	Idiomatic-134
wear out one's welcome	exhaust	Idiomatic-135
cat nap	spin	Idiomatic-136
under the wire	last-minute	Idiomatic-137
that and 50 cents will buy you a cup of coffee	degree	Idiomatic-138
rearrange the deckchairs on the Titanic	offensive	Idiomatic-139
sweat bullets	care	Idiomatic-140
watering hole	pub	Idiomatic-141
wet behind the ears	childish	Idiomatic-142
curve ball	deception	Idiomatic-143
barking up the wrong tree	problem	Idiomatic-144
to make from scratch	breath	Idiomatic-145
take it easy	relax	Idiomatic-146
chomp at the bit	start	Idiomatic-147
pull your chain	kid	Idiomatic-148
reach for the moon	dreams	Idiomatic-149
New York minute	moment	Idiomatic-150
go pear-shaped	curve	Idiomatic-151
cold shoulder	coworker	Idiomatic-152
keep one's fingers crossed	toe	Idiomatic-153
eager beaver	enthusiastic	Idiomatic-154
through thick and thin	constantly	Idiomatic-155
couch potato	caution	Idiomatic-156
hit the road 	exit	Idiomatic-157
blow one's top	take	Idiomatic-158
have a cow 	lose control	Idiomatic-159
take the Mickey	tease	Idiomatic-160
beat around the bush	circumscribe	Idiomatic-161
fall off the turnip truck	yokel	Idiomatic-162
worlds apart	separate	Idiomatic-163
slower than molasses	government	Idiomatic-164
in the black	sharks	Idiomatic-165
rain or shine	regardless	Idiomatic-166
get out of hand	escalate	Idiomatic-167
brass neck	audacious	Idiomatic-168
death warmed over	stride	Idiomatic-169
drop in the bucket	hands	Idiomatic-170
by the skin of one's teeth	tie	Idiomatic-171
mad as a cut snake	irrational	Idiomatic-172
before you can say knife	finished	Idiomatic-173
ace in the hole	hidden reserve	Idiomatic-174
piece of cake 	accomplish	Idiomatic-175
hit the jackpot	acquire	Idiomatic-176
keen as mustard	excited	Idiomatic-177
dry as a wooden god	thirsty	Idiomatic-178
mom and pop	regional	Idiomatic-179
hot button	issue	Idiomatic-180
rub someone the wrong way	leak	Idiomatic-181
over one's head	missed	Idiomatic-182
down in the dumps	girlfriend	Idiomatic-183
wee buns	complete	Idiomatic-184
right as rain	true	Idiomatic-185
big easy	New York City	Idiomatic-186
make an honest woman of	date	Idiomatic-187
make up one's mind	decide	Idiomatic-188
plain as a pikestaff	evident	Idiomatic-189
clam up	tip	Idiomatic-190
keep an eye out for	collection	Idiomatic-191
jump the gun	penalty	Idiomatic-192
get up and go	drive	Idiomatic-193
keep an eye on	contractors	Idiomatic-194
a drop in the bucket	modicum	Idiomatic-195
bite the bullet	begin	Idiomatic-196
bet the ranch	tough	Idiomatic-197
shoot the breeze	friend	Idiomatic-198
put the brakes on	change	Idiomatic-199
off the hook	party	Idiomatic-200
off your rocker	laughable	Idiomatic-201
pull somebody's leg	ridicule	Idiomatic-202
achilles' heel	weakness	Idiomatic-203
drop someone a line	talk	Idiomatic-204
like nailing jello to the wall	laborious	Idiomatic-205
keep one's nose to the grindstone	nine	Idiomatic-206
hit the books	hat	Idiomatic-207
even the dogs in the street know	water	Idiomatic-208
bite off more than one can chew	begin	Idiomatic-209
state of the art	novel	Idiomatic-210
put the cat among the pigeons	affect	Idiomatic-211
take the cake	surprise	Idiomatic-212
holding the baby	responsible	Idiomatic-213
sharp as a tack	truth	Idiomatic-214
bad mouth	malign	Idiomatic-215
pushing up daisies	saddle	Idiomatic-216
raise cain	disturb	Idiomatic-217
trip the light fantastic	music	Idiomatic-218
dull as ditchwater	boring	Idiomatic-219
Site plan of the Gatehouse Mausoleum showing site constraints	marble	Descriptive-220
Glowing Heating element of a modern 2-slice toaster	cook	Descriptive-221
Apartment building where Oswald lived in Minsk, Belarus	babirusa	Descriptive-222
The 'Magatama' bridge of Tamatsukuri Onsen	bridge	Descriptive-223
Ryerson Rams Ice Hockey Arena	rink	Descriptive-224
Aerial view of Interstate 39 as it passes Minonk, Illinois	cars	Descriptive-225
T24- The largest tiger in Ranthambore National Park	tiger	Descriptive-226
The Undertaker executing a chair shot on Brock Lesnar	wrestling	Descriptive-227
Seaford Beach with Seaford Head in the background	coastline	Descriptive-228
Big Show during his second World Heavyweight Championship reign	wrestling	Descriptive-229
Five Yixing clay teapots, in styles from formal to whimsical	teapots	Descriptive-230
Anamniote eggs from a frog	amphibian	Descriptive-231
1982 paperback version of Granovsky's autobiographical book	soldier	Descriptive-232
Lord Trenchard presenting a trophy to an RAF Halton apprentice	presentation	Descriptive-233
Map of the Lusatias with Sorbian languages and German names	hand-written	Descriptive-234
Cover of the Renfrew Mercury, unknown issue	cover	Descriptive-235
Basque festival in Winnemucca, Nevada	party	Descriptive-236
The tomb of Khoja Afāq, near Kashgar, China	Vatican City	Descriptive-237
Bulgarian people Kebab with Rice	culture	Descriptive-238
A section of the High Peaks Trail	hikers	Descriptive-239
Costumes at the Czech Beer Festival	dress	Descriptive-240
Eli Lilly and Company's global headquarters in Indianapolis, Indiana	headquarters	Descriptive-241
A cabin at 15th St.	wooden	Descriptive-242
Park of the Monsters, Mouth of Orcus	park	Descriptive-243
A 1977 license plate from Ditsobotla, Bophuthatswana Homeland	license plate	Descriptive-244
Lion's Park on the Fox River	portrait	Descriptive-245
Charles Fletcher Johnson served as the 4th mayor in 1893	mayor	Descriptive-246
Brahminy Kite with a fish at Pocharam lake, Andhra Pradesh, India	raptor	Descriptive-247
The limited-edition black "Sega Sports" model	Dreamcast	Descriptive-248
A newer stage pin connector	chip	Descriptive-249
A maximum minimum thermometer	thermometer	Descriptive-250
Malaysia-Singapore Airlines Comet 4 at Kai Tak Airport in 1966	airplane	Descriptive-251
Lightning detector at the Kennedy Space Center in Florida	bodies	Descriptive-252
Ataulfo mango from Soconusco	tree	Descriptive-253
