accelerate#v	inform%2:32:00::	inform#v#1	w2s-1
access#v	top%2:38:04::	top#v#6	w2s-2
action#n	heterosexuality%1:04:00::	heterosexuality#n#1	w2s-3
active#a	passive%3:00:02::	passive#a#3	w2s-4
activity#n	capability%1:26:00::	capability#n#2	w2s-5
additional#a	supplementary%5:00:00:additive:00	supplementary#a#2	w2s-6
administration#n	vice-presidency%1:28:00::	vice-presidency#n#1	w2s-7
admit#v	register%2:32:03::	register#v#2	w2s-8
adopt#v	take_office%2:41:00::	take_office#v#1	w2s-9
agitate#v	stool%2:32:00::	stool#v#1	w2s-10
agreement#n	prearrangement%1:09:00::	prearrangement#n#1	w2s-11
aim#v	design%2:31:00::	design#v#2	w2s-12
airflow#n	rise%1:11:02::	rise#n#4	w2s-13
airplay#n	game%1:06:00::	game#n#9	w2s-14
allow#v	accept%2:40:03::	accept#v#5	w2s-15
america#n	land%1:17:00::	land#n#4	w2s-16
appear#v	come_to_light%2:30:00::	come_to_light#v#1	w2s-17
army#n	building%1:14:00::	building#n#4	w2s-18
artist#n	art%1:04:00::	art#n#2	w2s-19
assist#v	endorse%2:41:02::	endorse#v#2	w2s-20
assload#n	tons%1:23:00::	tons#n#1	w2s-21
assumption#n	roman_catholic%1:14:00::	Roman_Catholic#n#2	w2s-22
attack#n	invention%1:04:00::	invention#n#3	w2s-23
attend#v	bootstrap%2:41:00::	bootstrap#v#1	w2s-24
author#n	dante%1:18:00::	Dante#n#1	w2s-25
autumn#n	honeymoon%1:28:01::	honeymoon#n#2	w2s-26
average#a	ordinary%3:00:00::	ordinary#a#1	w2s-27
backup#n	carrot%1:04:00::	carrot#n#4	w2s-28
barfly#n	consumer%1:18:00::	consumer#n#1	w2s-29
baron#n	fruiterer%1:18:00::	fruiterer#n#1	w2s-30
base#n	support%1:06:00::	support#n#10	w2s-31
base#v	radiolocate%2:42:00::	radiolocate#v#1	w2s-32
beast#a	fast%3:00:01::	fast#a#1	w2s-33
beatdown#n	imprisonment%1:04:01::	imprisonment#n#1	w2s-34
begin#v	be%2:42:03::	be#v#1	w2s-35
beneficial#a	convenient%3:00:00::	convenient#a#1	w2s-36
black#a	infelicitous%5:00:00:unfortunate:00	infelicitous#a#2	w2s-37
bomb#v	galvanize%2:35:00::	galvanize#v#2	w2s-38
bourbon#n	vodka%1:13:00::	vodka#n#1	w2s-39
box#n	keyboard%1:06:01::	keyboard#n#1	w2s-40
buddhism#n	covenant%1:10:00::	covenant#n#1	w2s-41
bufagin#n	gland%1:08:00::	gland#n#1	w2s-42
building#n	plumbing%1:04:01::	plumbing#n#2	w2s-43
butthurt#a	offended%5:00:00:displeased:00	offended#a#1	w2s-44
caboose#n	fornix%1:08:01::	fornix#n#1	w2s-45
call#n	option%1:21:00::	option#n#1	w2s-46
callsign#n	station%1:07:00::	station#n#5	w2s-47
campaign#n	expedition%1:04:00::	expedition#n#3	w2s-48
canal#n	raceway%1:06:00::	raceway#n#1	w2s-49
canvas#n	oil_painting%1:06:00::	oil_painting#n#1	w2s-50
car#n	carful%1:23:00::	carful#n#1	w2s-51
cast#n	film%2:36:00::	film#v#2	w2s-52
casual#a	randomized%5:00:00:irregular:00	randomized#a#1	w2s-53
ceasefire#n	truce%1:26:00::	truce#n#1	w2s-54
