Sent1	DLS_compose_ppmi	DLS_compose_cbow
render one language in another language	0.932347555189	0.847710767757
nations unified by shared interests, history or institutions	0.748520510478	0.666006257588
convert into absorbable substances, (as if) with heat or chemical process	0.811303089184	0.713826657886
devote or adapt exclusively to an skill, study, or work	0.766910662159	0.676153759976
elevated wooden porch of a house	0.723283041828	0.60946402151
either half of an archery bow	0.860980480628	0.638426885055
a removable device that is an accessory to larger object	0.593260873857	0.549271042737
restrict or confine	0.369704881733	0.440162135566
orient, be positioned	0.293666818272	0.243370793477
Bring back to life, return from the dead	0.589469286522	0.430876481641
anything illusory, not concrete or real	0.783546669671	0.66165406012
a name or trait that identifies a product or type of thing	0.696557174969	0.583992678042
the processing or operation of something	0.651937353557	0.355619849925
line, cover	0.69148598676	0.619835415029
determine a standard; estimate a capacity or measurement	0.730475916478	0.681550227209
an interpretation, an account or reading of an event or situation	0.683438401372	0.442427898238
festive social event, celebration	0.692784852645	0.515478145721
Make fine adjustments to for optimal operation; adjust to a certain scale.	0.9040949643	0.759321375961
a short lyric or poem intended to be sung	0.656215235076	0.596165177063
effectively wield or manipulate a concrete entity	0.72529909813	0.547842424368
employ or become employed in a position	0.681816305333	0.550271109414
group of people defined by a specific profession	0.62155362337	0.445673850102
storage cabinet furniture	0.701391064481	0.598586544643
Signal (approval or interest) by winking; briefly shut one eye.	0.674618133795	0.634210638862
capital stock in a corporation	0.816539125519	0.774940115469
prove or corroborate	0.537140431586	0.49766962098
(the content of) a communication.	0.539798261355	0.47829050881
a partial denture	0.588169566582	0.607639739959
move to a lower position, terminate something	0.510021127232	0.531569917464
flow, as of liquids	0.697497516793	0.497558896917
seal, insulate or protect	0.662111772091	0.465948697224
scar physically; create a mark on someone or something	0.551243720683	0.445199827835
Surround completely; close in, as if with a covering or border.	0.75153749991	0.722431457925
the act or event of ending a process, state, situation	0.536077603492	0.348306264671
the price of a good or service	0.266279866784	0.186382349737
depict or portray in art, words, or model	0.61625298475	0.476006286508
travel in or be shaped like a zigzag	0.616875845927	0.447201700777
Annoy, harass, or mock, perhaps playfully.	0.754403919733	0.68205812928
(Cause to) smell bad.	0.547593548294	0.39603352538
social ranking or position	0.675849163958	0.488797587092
ponder, consider, observe carefully	0.642341710692	0.547705662342
persuade or achieve acceptance	0.625205489686	0.588153709493
physical matter left behind after a removal process	0.73142761154	0.522522112209
any tall, vertical shape	0.712058371135	0.59548519326
physically inflate	0.638693100333	0.513218529654
heavy radioactive metallic element, atomic number 92	0.862698033654	0.799211919547
Complain about something or say mean things to someone.	0.936742265982	0.852186235698
care about, be bothered by, be concerned by	0.704210461987	0.614719847143
the tallied points of a game, at a given time	0.638147709393	0.596630643448
edit so as to block the truth; prevent distribution	0.433768027608	0.286605016662
a casual, brief meeting with someone	0.598492747226	0.468465422447
an electrical connection between conductor and earth	0.821714194659	0.700043193426
an agent's act of terminating an activity or event	0.610929162063	0.582471499787
notable or famous persons (real or fictional)	0.863841000549	0.809249817348
a person who manipulate or controls a device or machine	0.736261668374	0.578165561788
find, determine the place of	0.767266165071	0.64640303516
to engage in plotting or activities of an illegal or deceitful nature	0.74650349138	0.602169468461
be equivalent, have the same effect as something	0.590008531194	0.626411213356
(cause to) survive	0.636476221067	0.476883071194
the money	0.683353973065	0.531766139226
a sudden emotional vocalization	0.718833553881	0.59484235949
go back, restore, revive	0.68037199924	0.540147616577
settlement of people distant from their homeland	0.651514234336	0.595941147438
(The discovery or exhibition of) factual evidence that establishes the truth of something.	0.787429605877	0.515322841222
enter a realm, become involved with	0.558138036076	0.320596356274
a project or undertaking	0.416893128936	0.326613853067
a standardized system of measurements for heaviness	0.606739562641	0.550155384446
a concern or affair	0.618066244772	0.301750491735
have a strong sexual attraction to	0.521996133251	0.333082744701
a surrogate expression, utterance for a taboo word	0.523316151693	0.393529446917
facility for secure storage of things, often money	0.809890734627	0.744978847878
emit or cause to emit noise	0.615675344891	0.544706389536
make physical contact with, possibly with the effect of physically manipulating.	0.592389075986	0.421032837902
find out or be informed of a new information, understand or realize	0.692458559528	0.612341678543
head of a country	0.530137341931	0.353731848416
Touch with the lips.	0.849109386424	0.774551398179
a natural physical force of drawing towards something	0.60165221345	0.48257712533
a change which is a decrease	0.773286589475	0.668706152523
an evaluation, an estimation of worth, a grade	0.539998168645	0.224174535049
having responsibility for managing or supervising	0.271753189993	0.129096986934
fail or suffer failure	0.848568602254	0.802617114606
an abundance of something	0.609382990567	0.61053254475
An authoritative text or the corresponding citation.	0.660045329437	0.454703209977
An instance of visual perception.	0.458142711326	0.218840713056
fluctuate, move back and forth	0.526413331215	0.383246388181
the alleviation of distress	0.289302055341	0.159034423588
A ceremony marking admission into a religious community.	0.670362185229	0.470680770925
a social gesture of deferential greeting	0.694399560354	0.505338661708
move to a new location, state, or situation	0.433345650136	0.244412113487
Change one for another	0.820391031766	0.551446140538
a full stop, as a punctuation mark	0.877120191358	0.753727199101
something that is craved	0.515375464428	0.449651602916
to grow rapidly	0.594430123146	0.57062744095
Speak in a high-pitched tone of voice, as either an animal or human might.	0.724020941918	0.675155225039
domesticated animals kept for use or profit	0.733680961149	0.658072144471
a discipline, a branch of knowledge	0.65596112554	0.460334710903
a person who is aggressively pursued, chased	0.671732525877	0.474045642075
personnel casualty	0.613912132875	0.48395752943
escape or avoid a situation or responsibility	0.690775040375	0.618181766525
a relative loss in price, value	0.705345578941	0.569868541496
a measurable or quantitative decrease	0.585432522595	0.55687340752
Change the key, pitch, tone, or volume of, likely for aesthetic reasons.	0.75760800213	0.561508025799
a written message of nonacceptance	0.533633740807	0.484405937105
(cause to) stop speaking or bring about silence	0.641200065099	0.387061507217
injure, scratch the surface	0.701251271705	0.632986998125
A plant structure near the top of the plant.	0.580464392353	0.459515920876
a written list of particular things being offered	0.740163334099	0.557753465637
a notational mark used in writing, diacritic	0.781055225234	0.710131506492
the state of believing in, or having confidence in, something or someone	0.596998609038	0.466021532428
an attempt or effort to achieve a goal	0.587726495826	0.583365860923
increase in amount, extent, or intensity	0.274617963556	0.116365132533
clean, wash thoroughly	0.773259416038	0.627492973415
compress out of shape or into small pieces	0.532732161706	0.269119276939
point or direct object, weapon, or blow at something or someone	0.864022068799	0.775051375656
employ or utilize, put into service	0.603825506138	0.415982451693
Spin, wind, braid, or twist together, perhaps as when performing lacework.	0.399403115415	0.362664215179
a decorative container, often for holding flowers	0.874701580246	0.728261500852
preserve, keep in safety, use frugally	0.521879891408	0.450334459085
an open motorboat used for transport	0.700884766667	0.489921418504
a process of development, increase or advancement	0.525059422956	0.40531099914
Make sure of.	0.714494421937	0.555094757502
supply or furnish with something needed or wanted	0.806448540135	0.625615759955
a sharp bladed instrument for shaving off hair	0.732530669608	0.640055391645
learn, assimilate a body of knowledge	0.620021371634	0.517744779396
support; hold up; nurture or provide for	0.529905498198	0.333929023933
keep away, prevent from happening, or not do something	0.694375861245	0.492323889465
Something that provides advice.	0.840007438099	0.748017087231
The act of copying the actions of someone else.	0.587542964373	0.337074156403
a physical entity	0.653106912679	0.624755674553
lessen in force, impact, or effect	0.459174045748	0.275232784541
a judgement or opinion about something	0.833946022969	0.673534451376
flog or whip	0.578629028534	0.576888307944
act, form, or progress according to a plan or ideal	0.64691204202	0.291839653554
Germinate, as in a plant.	0.731102372615	0.705708618528
social sphere, scope of activity or interest	0.665388449447	0.308332606913
a static vertical layout, e.g. text or numbers	0.821521969234	0.639973803019
recognize, be familar or well-versed with	0.422639032419	0.415364286505
a portrayal of someone or something, through words or behavior	0.590509807383	0.398672585089
a device to control the rate of some activity, e.g., chemical or mechanical	0.871538308493	0.639338687085
Form an aesthetic or conceptual whole.	0.682374974005	0.518917351092
human legs, informal usage	0.808974176513	0.724986804036
goal or objective	0.633355645868	0.594823010524
protect from heat, cold, or other detrimental conditions	0.412402684363	0.178373423408
an allotment or percentage of something	0.532305222524	0.251819099763
something that attains victory	0.47252906854	0.315425536854
line up or make parallel; bring into proper adjustment	0.769260458233	0.62585266796
a home furnishing that is a fabric cover	0.682003559965	0.472082639554
meshed frame over windows and doors	0.67631748042	0.430999842142
a measure of the likelihood or probability of an event	0.730351142694	0.649589042743
Anyone who judges or finds fault with something.	0.85148486383	0.719323620597
the rescue or release of someone, something	0.432558832157	0.302327424382
observe, perceive	0.57496712922	0.526342761894
limit, keep under control, deter, forbid	0.736146340924	0.582353252282
stick out, jut out, protrude	0.233645512488	0.228124770088
to act as the host of	0.756167559735	0.621486370948
put an end to, make invalid a process that's already begun	0.708755664487	0.64977297611
enjoy, be fond of or approve	0.548728451343	0.38249627546
per centum	0.410975425643	0.61504840014
an approximate attribute or quality of something	0.745556211509	0.622935223845
The act of having and controlling property.	0.433559275194	0.323693894603
a physical protuberance, large or small	0.552392668626	0.390091810992
estimate or calculate the numerical value of something	0.689449154599	0.574902831139
a portion or percentage of a whole	0.497074944143	0.330545540218
lightest most abundant element, atomic number 1	0.746610547452	0.702411734877
a unit cost of something	0.514862125676	0.291148403137
move back and forth	0.609429794796	0.40151238188
a cyclical span of time defined by a calendar system	0.580534424007	0.527096364775
face an event and survive; endure	0.74477699132	0.669472072195
(medicine) the capacity of an organism to defend against disease.	0.884606953814	0.82861025462
a statement, an idea expressed in language	0.664368594608	0.497164672061
perform a duty	0.7121074308	0.609178149587
soldier who is a member of a special forces group	0.762067108874	0.596485983194
become master of, overcome, dominate	0.468743952505	0.301376369556
area of damaged, cut tissue on a living body	0.421787784638	0.297548029501
revolve	0.459205018089	0.389660437265
twice the quantity or amount of something	0.768823408112	0.750579836012
Give an incentive for action, provoke or stir up, urge on, or cause to act.	0.646135981149	0.709612747828
Funeral direction	0.648769111239	0.668607910245
to ignite or catch on fire	0.913797343806	0.852234400207
a large approximate quantity of some attribute or thing	0.596423910566	0.375732055445
Medicines	0.64461162049	0.588086695674
