MWA_Id	MWA_Word
[[2, 6], [3, 7], [5, 9], [6, 10]]	[['one', 'one'], ['language', 'language'], ['another', 'another'], ['language', 'language']]
[[5, 7], [4, 6], [1, 4]]	[['interests', 'interests'], ['shared', 'common'], ['nations', 'nations']]
[[11, 10], [13, 7]]	[['heat', 'heat'], ['chemical', 'chemical']]
[[1, 1], [12, 8]]	[['devote', 'devote'], ['work', 'work']]
[[3, 2]]	[['porch', 'porch']]
[[6, 8], [2, 5], [4, 7], [1, 1], [3, 6]]	[['bow', 'bow'], ['half', 'halves'], ['an', 'a'], ['either', 'either'], ['of', 'of']]
[[7, 5]]	[['accessory', 'accessory']]
[[1, 2]]	[['restrict', 'limits']]
[]	[]
[[1, 1]]	[['Bring', 'cause']]
[[5, 4], [1, 1]]	[['concrete', 'concrete'], ['anything', 'something']]
[[7, 5], [8, 6], [9, 7], [1, 1], [2, 2]]	[['a', 'a'], ['product', 'product'], ['or', 'or'], ['a', 'a'], ['name', 'name']]
[]	[]
[[3, 1]]	[['cover', 'cover']]
[[5, 1]]	[['estimate', 'estimate']]
[]	[]
[[2, 9], [3, 2]]	[['social', 'social'], ['event', 'occasion']]
[[14, 12], [1, 1], [2, 2], [3, 3], [5, 9], [6, 10]]	[['.', '.'], ['Make', 'make'], ['fine', 'fine'], ['adjustments', 'adjustments'], ['for', 'for'], ['optimal', 'optimal']]
[[3, 3], [1, 1]]	[['lyric', 'song'], ['a', 'a']]
[[1, 2], [4, 1]]	[['effectively', 'effectively'], ['manipulate', 'handle']]
[[6, 5], [7, 6]]	[['a', 'a'], ['position', 'position']]
[[1, 1], [3, 6], [2, 2]]	[['group', 'organization'], ['people', 'personnel'], ['of', 'of']]
[[3, 2], [2, 1]]	[['furniture', 'furniture'], ['cabinet', 'office']]
[[14, 4], [7, 2], [8, 3], [1, 1]]	[['.', '.'], ['by', 'by'], ['winking', 'winking'], ['Signal', 'signal']]
[[1, 9], [2, 10], [4, 12], [5, 13]]	[['capital', 'capital'], ['stock', 'stock'], ['a', 'a'], ['corporation', 'corporation']]
[[1, 1], [2, 2]]	[['prove', 'establish'], ['or', 'or']]
[[8, 14], [6, 1], [7, 2]]	[['.', '.'], ['a', 'a'], ['communication', 'communication']]
[[3, 2], [1, 1]]	[['denture', 'denture'], ['a', 'a']]
[[7, 1]]	[['terminate', 'terminate']]
[[5, 12]]	[['liquids', 'liquid']]
[[5, 30]]	[['protect', 'cover']]
[[4, 1], [6, 3]]	[['create', 'make'], ['mark', 'marks']]
[[14, 3], [1, 1], [2, 2]]	[['.', '.'], ['Surround', 'surround'], ['completely', 'completely']]
[[6, 2]]	[['ending', 'end']]
[[3, 7], [4, 8]]	[['of', 'of'], ['a', 'a']]
[]	[]
[[5, 4]]	[['shaped', 'shape']]
[[10, 7], [9, 6], [6, 1]]	[['.', '.'], ['playfully', 'playfully'], ['mock', 'mock']]
[[7, 11], [6, 3]]	[['.', '.'], ['bad', 'bad']]
[[4, 3], [1, 13]]	[['position', 'position'], ['social', 'society']]
[[3, 1]]	[['consider', 'consider']]
[[1, 1], [4, 4]]	[['persuade', 'persuade'], ['acceptance', 'accept']]
[[2, 1], [7, 8]]	[['matter', 'matter'], ['removal', 'removed']]
[[5, 5]]	[['shape', 'shape']]
[[2, 2]]	[['inflate', 'inflated']]
[[2, 5], [3, 6], [4, 7], [1, 2], [6, 16], [7, 11]]	[['radioactive', 'radioactive'], ['metallic', 'metallic'], ['element', 'element'], ['heavy', 'heavy'], ['atomic', 'nuclear'], ['number', 'many']]
[[10, 4], [5, 1], [6, 2], [7, 3]]	[['.', '.'], ['say', 'say'], ['mean', 'mean'], ['things', 'things']]
[[3, 10], [4, 11], [5, 12], [6, 13]]	[[',', ','], ['be', 'be'], ['bothered', 'bothered'], ['by', 'by']]
[[4, 7], [5, 8], [6, 15], [10, 4]]	[['of', 'of'], ['a', 'a'], ['game', 'game'], ['given', 'expresses']]
[]	[]
[[1, 1], [2, 2]]	[['a', 'a'], ['casual', 'casual']]
[[1, 4], [2, 5], [3, 2], [4, 3], [7, 16]]	[['an', 'an'], ['electrical', 'electrical'], ['connection', 'connection'], ['between', 'between'], ['earth', 'earth']]
[[4, 2], [5, 3], [6, 4]]	[['act', 'act'], ['of', 'of'], ['terminating', 'ending']]
