Dataset	Level1	Level2	Genre	Baseline	Score
paragraph2sentence.test	Well what I want to know is that is it possible for me to order another Verizon FiOS modem? My parents already have the internet set up in my house but the connection in my room is really low and things are kind of slow. Is there anyway i can set up another modem in my room? Or would i have pay for that monthly? I mean for some reason i think it would be extra on their bill but i am not sure. And i mean if it is then i'll settle for the slowness! Lol	I have heard that Verizon has the fastest speeds in the country with Quantum Internet that redefines high speed Internet. Is this true?	CQA	0.04	1.56
paragraph2sentence.test	Hello everyone, I just made a blog on blogger. Now, I'm not getting much viewers and i would like to know how i can do that. Based on the few articles I've written so far, my blog needs to attract the kind of people that like to think about anything. People that just sometimes sit down during work and just think about the world. I'm wondering how can i be able to bring those people to my blog? Can anyone help please?	How can my blog be more popular?	CQA	0.05	3.44
paragraph2sentence.test	On a certain site, my friend was using my comp. and typed in his password to a site, and then when asked clicked on "Never Remember Passwords On This Site". However I really want my password to be remembered. Is there a way to reverse this?	If I have set a website to never remember my password, can I reverse this so that my password is remembered?	CQA	0.1	5.0
paragraph2sentence.test	OKay, so i am interested in blogging, although, i desperately need a topic to write (blog) about. i thought about doing my personal life, and using code names. and have profiles of the people i write about. (almost like role playing with the profiles and descriptions. no pictures of course because its anonymous) but, yet i still need something to write about?! i could focus on high school drama. and observations on people...but truly, i don't know who would be interested in reading it. lol. any ideas??	how do you know if your twitter account is being block?	CQA	0.03	0.0
paragraph2sentence.test	The donations page for a legit church site that I maintain for my client has been added to IE's phishing filter. How can I get it removed ? Thanks.	How can i get rid of an image on imageshack without an account?	CQA	0.1	0.0
paragraph2sentence.test	I'm not looking to get rich or anything. I just want to know if there is an actual somewhat easy way to make at least some money online with relatively low effort. Please no pyramid scams or referral services or any of that B.S. Oh and also none of those schemes that demands money up front to start and then does nothing for you. So is there an actual way to get at least some money?	Online scams have been known to be very dangerous, even leading to stolen identities, credit card fraud, and critical computer viruses.	CQA	0.03	0.63
paragraph2sentence.test	I uploaded a few images on imageshack when I had no account so I could not delete them. I want to delete them now and you can do that when you have an account. Is there any way I can claim the images I uploaded when I had no account, as mine?	How can I delete photos from imageshack i put up when i had no account?	CQA	0.12	5.0
paragraph2sentence.test	a while ago i saw this facebook ad that said something like this: "every lost season is free" on the title. then the description said something like "trade in your old unwanted movies for new ones" at the time i didn't need to do that, but now i like the idea of the website, but can't find the ad on facebook any more! does anyone have any idea what the site might be?	I am trying to find a movie website that I saw on a facebook ad that I didn't need it then but now I do, can anybody help me?	CQA	0.09	3.75
paragraph2sentence.test	Ive just started a blog, and I'd like to be able to make it my own. How do I do things like add music to my page, or upload a new background for the blog itself? Please and Thanks.	Anyone can start their own blog using one of the many websites out there created for beginner and advanced bloggers alike.	CQA	0.05	1.56
paragraph2sentence.test	How do I tag someone on a tweet? Like I've seen people and they say @BLAHBLAH is amazing. I want to know how you do that? Might be a stupid question but I just got Twitter.	I'm new to tweeter and am wonder how to tag somone like you can do with @BLAHBLAH.	CQA	0.1	5.0
paragraph2sentence.test	I purchased a software, Windows Password Recovery Tool, but I don't need it anymore. I emailed them 4 times already saying that I want a refund but they keep saying "Tell us more about your problem, that way we can help you further." And I keep telling them I want a refund, but they keep saying the same thing. It said it on the website that there was a 30-day money back guarantee. Is there anything I can do but to keep emailing them? Thanks.......	I purchased software and have decided I want a refund but when I have contacted the company they had no reply - what can I do?	CQA	0.09	3.13
paragraph2sentence.test	I just got Firefox 3.5 but I cannot use my awesome Mario theme. I realize that 3.5 isn't much different from 3.6. so how can I go back?	Sometimes the world seems screwed up.	CQA	0.06	0.0
paragraph2sentence.test	Recently my wireless internet connection randomly drops then reconnects a few seconds to a minute later. Its a 2wire router, and the internet drops on my laptop and on my PS3. I've had this wireless internet for a few years now, and this problem did happen until recently. Anyone know what i can do to fix this?	I only have my laptop and PS3 connected to my old 2wire router, but lately the wireless connection keeps dropping for a few seconds, so how do I fix it?	CQA	0.08	5.0
paragraph2sentence.test	So I have this strange thing going on on my computer. Recently in the history its been saying that I've logged onto Facebook. I know my sister has used this computer a long time ago to log on to her account but not in a long time. I've noticed that facebook keeps showing up in the history. Can anyone explain this?	Mark Zuckerberg launched facebook from his Harvard dorm room in 2004.	CQA	0.07	0.79
paragraph2sentence.test	hello , i know is weird impossible question? but .. i want to get free internet in my house with my laptop , how do i do that?	I want free internet.	CQA	0.26	3.13
paragraph2sentence.test	What is MyEasyGPT.com? How does it reward you?	What is MyEasyGPT.com and its rewards?	CQA	0.63	5.0
paragraph2sentence.test	My friends AIM screen name was his last name with 3 numbers in the end of his name. I deleted him by accident and were in a fight so i don't want to ask him. Plus non of my friends have his screen name. Is there a search engine that can find his screen name?	what is the best category to put this story I made up on fanfiction?	CQA	0.04	0.0
paragraph2sentence.test	im looking for a free ancestry website or an adoption website for the UK..... no sign up....Please if anyone could help me?	Can someone help me find a free ancestry website or adoption site in the UK?	CQA	0.36	5.0
