a cappella	without accompaniment
à la carte	priced separately
a priori	reasoning based on general principles 
aback	unexpected, surprised
abacus	counting device abroad overseas
abandon	desert, forsake
abase	degrade
abash	humiliate, embarrass 
abate	lessen, subside 
abatement	alleviation 
abbey	monastery 
abbreviate	shorten 
abdicate	relinquish power or position 
abdomen	belly
abduct	kidnap
aberrant	abnormal
abet	aid, encourage (typically of crime) 
abeyance	postponement 
abhor	detest 
abide	submit, endure 
abject	wretched 
abjure	renounce 
ablate	cut away
ablution	cleansing
abode	home
abolish	annul, eliminate
abominable	detestable
aboriginal	indigenous, native
abortive	unsuccessful
abound	be plentiful
abreast	side-by-side
abridge	shorten
abrogate	cancel
abrupt	ending suddenly
abscess	infected and inflamed tissue
abscond	to run away (secretly)
absolve	acquit, free from blame
abstain	refrain
abstract	theoretical, intangible
abstruse	difficult to understand
abut	touch, border on
abysmal	deficient, sub par
abyss	chasm
academy	school
accede	yield, agree
accentuate	emphasize
accession	attainment of rank
accessory	attachment, accomplice
acclaim	recognition, fame
acclimate	accustom oneself to a climate, adjust
acclivity	ascent, incline
accolade	applause, tribute
accommodate	adapt, assist, house
accomplice	one who aids a lawbreaker
accord	agreement
accost	to approach and speak to someone aggressively
accouter	equip, clothe 
accredit	authorize 
accrete	grow larger 
accrue	accumulate 
accumulate	amass 
acerbic	caustic, bitter (of speech) 
acme	summit, zenith
acolyte	assistant (usually to clergy) 
acoustic	pertaining to sound 
acquaint	familiarize 
acquiesce	agree passively 
acquit	free from blame 
acrid	pungent, caustic, choking 
acrimonious	caustic, resentful 
acrophobia	fear of heights 
actuate	induce, start 
acumen	insight 
acute	sharp, intense 
ad nauseam	to a ridiculous degree 
ad-lib	improvise 
adage	proverb 
adamant	insistent 
adapt	adjust to changing conditions 
adaptable	pliable 
addendum	appendix, supplement 
adduce	offer as example
adept	skillful
adhere	stick to
adherent	supporter
adieu 	farewell
adipose 	fatty
adjacent	next to
adjourn	suspend, discontinue
adjudicate	judge
adjunct	addition
administer	manage
admissible	allowable
admonish	warn gently
ado	fuss, commotion
Adonis	a beautiful man
adroit	skillful
adulation	applause, worship
adulterate	contaminate, corrupt
adumbration	overshadow
advent	arrival of something important
adventitious	accidental, extrinsic
adversary	opponent
adverse	unfavorable, opposing
adversity	hardship
advise	give counsel
advocate	urge, support
aegis	that which protects, sponsorship
aerial	pertaining to the air
aerobics	exercise
aesthetic	pleasing to the senses, beautiful
affable	friendly
affect	influence
affectation	pretense, showing off
affidavit	sworn written statement
affiliate	associate
affiliation	connection, association
affinity	fondness
affirmative	vote
affix	fasten
affliction	illness
affluent	abundant, wealthy
affray	brawl agnostic not knowing whether God exists
affront	insult agrarian pertaining to farming
aficionado	devotee, ardent follower 
afoul	entangled, in trouble
aft	rear
aftermath	consequence
agape	wonder
agenda	plan, timetable
agent provocateur	agitator
aggrandize	exaggerate
aggravate	worsen
aggregate	total, collect
aggressor	attacker
aggrieve	mistreat
aggrieved	unjustly injured
aghast	horrified
agile	nimble
agitate	stir up
agnate	related on the father’s side
agronomy	science of crop production
air	discuss, broadcast
airs	pretension
akimbo	with hands on hips
akin	related
al fresco	outdoors
alacrity	swiftness 
albatross	large sea bird 
albino	lacking pigmentation 
alcove	recess, niche 
alias	assumed name 
alibi	excuse 
alienate	estrange, antagonize 
alight	land, descend, to happen to find a place to rest amend correct
allay	to reassure
allege	assert without proof
allegiance	loyalty
allegory	fable
allegro	fast
alleviate	lessen, assuage
alliteration	repetition of the same sound
allocate	distribute 
allot	allocate, ration 
allude	refer to indirectly 
ally	unite for a purpose 
almanac	calendar with additional information 
alms	charity 
aloof	arrogant, detached 
altercation	argument 
altitude	height 
alto	low female voice 
altruism	benevolence, generosity 
amalgamation	mixture 
amass	collect
ambient	surrounding, environment
ambiguous	unclear
ambivalence	conflicting emotions
ambulatory	able to walk
ameliorate	improve
amenable	agreeable
amenities	courtesies, comforts
amenity	pleasantness
amiable	friendly
amid	among
amiss	wrong, out of place
amity	friendship, good will
amnesty	pardon
amoral	without morals
amorous	loving, sexual
amorphous	shapeless
amortize	pay by installments
amphibious	able to operate in water and land
amphitheater	oval-shaped theater
amuck	murderous frenzy
amulet	charm, talisman
amuse	entertain
anachronistic	out of historical order
anaerobic	without oxygen
anagram	a word formed by rearranging the letters of another word
analgesic	pain-soother
analogous	similar 
analogy	point by point comparison 
anarchist	terrorist, nihilist 
anarchy	absence of government, chaos 
anathema	curse, abomination 
anecdote	story
aneurysm	bulging in a blood vessel 
angst	anxiety, dread 
animadversion	critical remark
animated	exuberant
animosity	dislike
animus	hate
annals	historical records
annex	to attach, to take possession of
annihilate	destroy
annotate	to add explanatory notes
annul	cancel 
annular	ring-shaped 
anodyne	pain soothing 
anoint	consecrate, apply ointment
anomalous	abnormal
anonymity	state of being anonymous 
antagonistic	hostile
antagonize	harass 
antechamber	waiting room 
antediluvian	ancient, obsolete 
anthology	collection 
anthrax	disease, bacterium
antic	caper, prank 
antipathy	repulsion, hated 
antipodal	exactly opposite 
antiquated	outdated, obsolete 
antiquity	ancient times 
antithesis	direct opposite 
apartheid	racial segregation 
apathetic	unconcerned, uninterested 
apathy	indifference
ape	mimic 
aperture	opening 
apex	highest point 
aphasia	speechless 
aphorism	maxim 
aplomb	poise 
apocalyptic	ominous, doomed 
apocryphal	of doubtful authenticity
apoplexy	stroke
apostate	one who abandons one’s faith
apotheosis	deification
appall	horrify
apparition	phantom
appease	pacify 
appellation	title
append	affix
apposite	apt
apprehensive	anxious, worried
apprise	inform
approbation	approval
apropos	appropriate
apt	suitable
aptitude	ability
aquatic	pertaining to water
arbiter	judge
arbitrament	final judgment
arbitrary	tyrannical, capricious
arcane	secret, difficult to understand
archaic	antiquated
archetype	original model, epitome
archipelago	group of island
archives	public records
ardent	passionate
ardor	passion
arduous	hard
argonauts	gold-seekers, adventurers 
argot	specialized vocabulary, jargon 
aria	operatic song 
arid	dry, dull 
aristocrat	nobleman 
armada	fleet of ships 
armistice	truce 
arraign	indict 
array	arrangement 
arrears	in debt 
arrogate	seize without right 
arroyo	gully 
arsenal	supply, stockpile of weapons 
artful	skillful, cunning
articulate	well-spoken
artifice	trick
artless	naive, simple
ascend	rise
ascendancy	powerful state 
ascertain	discover 
ascetic	self-denying 
ascribe	to attribute 
aseptic	sterile 
ashen	pale 
asinine	stupid 
askance	to view with suspicion 
askew	crooked attire dress
aspersion	slander 
asphyxiate	suffocate 
aspirant	contestant
aspiration	ambition
assail	attack
assassin	murderer
assent	agree
assert	affirm
assess	appraise
assiduous	hard-working
assimilate	absorb, integrate
assonance	partial rhyme
assuage	lessen (pain)
astral	pertaining to stars
astringent	causing contraction, severe
astute	wise
asunder	apart, into separate parts
asylum	place of refuge
asymmetric	uneven
atavistic	exhibiting the characteristics of one’s forebears
atelier	workshop
atoll	reef
atomize	vaporize
atone	make amends
atrophy	the wasting away of muscle
attenuate	weaken, assuage
attest	testify
attribute	ascribe
attrition	deterioration, reduction
atypical	abnormal 
au courant	well informed, chic 
audacity	boldness 
audient	listening, attentive 
audition	tryout 
augment	increase, supplement 
augur	predict 
august	noble, majestic 
aura	atmosphere, emanation 
auspices	patronage, protection 
auspicious	favorable aye 
austere	harsh, Spartan 
authorize	grant, sanction
automaton	robot
autonomous	self-governing
auxiliary	secondary, supportive
avail	assistance
avant garde	vanguard
avarice	greed
avatar	incarnation
averse	loath, reluctant
