Dataset	Domain	Sent1	Sent2	Sent1_original	Sent2_original
STS2017	track1.ar-ar	Someone carrying a skateboard for a night on the sidewalk.	A man sitting alone reading on a round table, outside a convenience store.	شخص ما يحمل لوح التزلج ليلا على الرصيف.	رجل جالس بمفرده يقرأ على طاولة مستديرة ، خارج أحد المتاجر.
STS2017	track1.ar-ar	Aldaitona women racing in the 500 race.	Racing some men within the ski competition.	تتسابق النساء في سباق الدايتونا 500.	يتسابق بعض الرجال ضمن مسابقة التزلج.
STS2017	track1.ar-ar	Women walk side by side.	There are girls walking Mottagorat	تمشي النساء جنبا إلى جنب.	هناك فتيات يمشين متجاورات
STS2017	track1.ar-ar	Jumps man with the green jersey aloft on the grass.	The man walks with a white shirt on the long grass holding a stick.	يقفز الرجل ذو القميص الأخضر عاليا على العشب.	يمشي الرجل ذو القميص الأبيض على العشب الطويل ممسكا بعصا.
STS2017	track1.ar-ar	Two men sitting on the grass, and with them a banana.	Three men hanging around when the mattress selling fruit.	رجلان يجلسان على العشب ومعهما موز.	ثلاثة رجال يتسكعون عند فرشة بيع الفاكهة.
STS2017	track1.ar-ar	A pile of rocks bearing strange signs, caused the people gathered around.	Some people walking on some rocks in the water.	كومة من الصخور تحمل علامات غريبة ، تسببت في تجمع الناس حولها.	يسير بعض الأشخاص على بعض الصخور الموجودة في الماء.
STS2017	track1.ar-ar	Women helped one of the runners who had fallen, to stand on his feet again.	The woman put make-up.	ساعدت النساء أحد العدائين الذي كان قد سقط ، للوقوف ثانية على قدميه.	كانت المرأة تضع المكياج.
STS2017	track1.ar-ar	Buy women spinning.	One of the women sell the crop.	تشتري المرأة الغَزْل.	تبيع إحدى النساء المحصول.
STS2017	track1.ar-ar	Rush a woman in one of the alleys, wearing black clothes.	A young man walking with a black jacket on the sidewalk.	تهرول امرأة في أحد الأزقة ، مرتدية ملابس سوداء .	يسير شاب ذو سترة سوداء على الرصيف.
STS2017	track1.ar-ar	It's a concert.	A person who provides a concert.	إنه حفل موسيقي.	يقدم شخصٌ حفلا موسيقيا.
STS2017	track1.ar-ar	The two men went to school together.	Two men go to work.	ذهب الرجلان إلى المدرسة معا.	يذهب رجلان إلى العمل.
STS2017	track1.ar-ar	Women's bag containing art exhibition you are.	Women carrying a work of art at the school.	تحتوي حقيبة المرأة على المعرض الفني الذي تتواجد فيه.	تحمل المرأة عملا فنيا في المدرسة.
STS2017	track1.ar-ar	Three people were standing on a black platform next to a solid black guitar chair.	Stands a woman playing the harp on a chair in front of the White House.	يقف ثلاثة أشخاص على منصة سوداء صلبة بجانب كرسي أسود وقيثارة.	تقف امرأة تعزف القيثارة على كرسي أمام البيت الأبيض.
STS2017	track1.ar-ar	Backpack wide from the inside.	Woman sits inside the dressing room in the yacht.	حقيبة الظهر واسعة من الداخل.	تقبع المرأة داخل غرفة الملابس الموجودة في اليخت.
STS2017	track1.ar-ar	Artist trying to sell his paintings.	Artist shows his paintings to others.	فنان يحاول بيع لوحاته.	فنان يظهر لوحاته للآخرين.
STS2017	track1.ar-ar	A man talking to three men for a woman looks weird on the left	Two women talking to each other, while a man seen them.	رجل يتحدث إلى ثلاثة رجال عن امرأة تبدو غريبة الأطوار على اليسار 	تتحدث امرأتان إلى بعضهما البعض ، بينما ينظر رجل إليهما.
STS2017	track1.ar-ar	Two men watching Mrtdian dark-colored clothes, a crowd of people.	There are people dressed in white staring at horses.	يراقب رجلان مرتديان ملابس داكنة اللون ، حشدا من الناس.	هناك أشخاص يرتدون ملابس بيضاء يحدقون في الخيول.
STS2017	track1.ar-ar	The man was banging drums.	The man holds his guitar.	كان الرجل يقرع الطبول.	يحمل الرجل قيثارته.
STS2017	track1.ar-ar	Ground by snow.	Snow on the ground.	الأرض عليها ثلوج.	ثلوج على الأرض.
STS2017	track1.ar-ar	The length of the rock scalable.	Rock longer than men.	طول الصخرة قابل للتسلق.	الصخرة أطول من الرجل.
STS2017	track1.ar-ar	Read a child a book about dogs.	Dog reading a book to a child.	يقرأ طفل كتابا عن الكلاب.	كلب يقرأ كتابا للطفل.
STS2017	track1.ar-ar	A military parade in the washroom.	A crowd watches an exhibition.	هناك عرض عسكري في الخلاء.	هناك حشد يشاهد معرضا.
STS2017	track1.ar-ar	Wearing tennis player uniforms contradictory colors.	Tennis player wears clothes in orange in the middle game of tennis.	ترتدي لاعبة التنس زيا متناقض الألوان.	لاعبة تنس ترتدي ملابس باللون البرتقالي في منتصف مباراة لكرة المضرب.
STS2017	track1.ar-ar	The two men scans rare insects in the jungle.	There are two dogs in the snow, and in one thing Fmm	يقوم الرجلان بتفحص حشرات نادرة في الأدغال.	يوجد كلبان في الثلوج ، وفي فمم أحدهما شيء
STS2017	track1.ar-ar	Gymnast, it might be appropriate.	A man will go to Spahhhala.	قد يكون لاعب الجمباز مناسبا.	سيذهب رجل للسباحةحالا.
STS2017	track1.ar-ar	A dog chasing a cat abroad.	Dog tries to catch a cat.	قطة تطارد كلبا في الخارج.	يحاول كلب الإمساك بقطة.
STS2017	track1.ar-ar	It runs a group of dogs sleds in the race.	Pulls the sledge dogs in one of the races.	تركض مجموعة من كلاب الزلاجات في السباق.	يسحب كلبان زلاجة في أحد السباقات.
STS2017	track1.ar-ar	Electrician to install wiring on a pole in the surface.	A man rode the elevator to the surface.	يعمل كهربائي لتثبيت الأسلاك على قطب في السطح.	استقل رجل المصعد إلى السطح.
STS2017	track1.ar-ar	The girl in the second section running, smiling, while her sisters carry a towel.	A young girl playing with her boyfriend Game fancy clothes in the balcony.	الفتاة في القسم الثاني تركض مبتسمة ، بينما تحمل منشفة أخواتها.	فتاة صغيرة تلعب مع صديقها لعبة الملابس التنكرية في الشرفة.
STS2017	track1.ar-ar	Drajthm shattered man.	Man driving one of the cars, while truck seen.	حطم رجل دراجتهم.	رجل يقود إحدى السيارات ، بينما ينظر إلى شاحنة.
